Energy_Consumption_kWh/km,Speed_kmh,Slope_%,Temperature_C,Road_Type,Humidity_%,Wind_Speed_ms,Weather_Condition,Traffic_Condition
0.249,88.9,-0.5,19.5,2,63.2,2.1,2,2
0.192,36.1,-4.4,-1.4,1,60.6,5.3,0,1
0.215,40.8,-0.3,25.6,2,51.0,14.0,1,0
0.221,114.5,-1.4,23.3,2,99.3,13.7,1,1
0.328,48.2,11.9,-14.5,0,72.3,11.4,0,0
0.2,61.8,-7.4,-9.4,2,54.0,10.9,0,0
0.297,115.8,-3.2,-10.5,0,78.6,13.0,0,2
0.201,92.9,-6.6,-13.1,1,38.8,1.0,0,1
0.308,57.6,9.1,-11.7,0,22.1,7.7,0,0
0.201,95.2,0.3,2.9,2,79.7,0.2,0,0
0.246,22.2,7.9,27.1,2,83.8,2.9,0,0
0.273,100.9,5.8,14.3,0,40.9,7.5,1,0
0.332,73.6,10.6,-9.2,0,85.3,5.0,0,1
0.272,109.5,-7.5,-12.1,0,60.6,0.8,2,1
0.276,125.0,-3.9,-9.3,0,96.4,9.2,0,1
0.259,121.8,6.0,5.5,1,43.6,2.8,0,0
0.326,120.0,3.7,1.7,0,62.3,8.1,1,2
0.263,76.3,5.9,24.0,2,67.3,7.7,1,1
0.248,59.6,3.5,19.4,0,25.0,14.0,0,1
0.228,71.2,3.6,33.2,0,39.7,13.1,0,0
0.285,95.9,10.7,37.2,2,62.5,6.7,0,0
0.421,117.2,10.4,-14.9,0,60.4,9.6,3,1
0.301,42.8,-7.2,-2.5,0,67.6,0.2,3,2
0.238,121.0,0.3,-10.7,1,29.9,10.0,0,0
0.264,109.7,2.2,1.9,2,33.8,11.7,0,0
0.258,127.7,-0.8,17.9,0,34.6,3.9,1,1
0.274,116.8,-7.0,-0.3,0,35.2,7.2,0,2
0.249,50.8,1.4,-4.6,1,70.9,2.3,2,1
0.312,31.7,11.5,6.3,1,41.7,11.1,2,0
0.232,32.3,-6.6,-14.0,1,86.7,8.9,1,1
0.289,52.0,8.3,38.5,1,53.1,11.0,0,2
0.317,87.6,-4.1,38.2,0,73.5,11.2,3,2
0.323,108.5,3.5,-7.6,2,50.8,1.2,2,2
0.235,118.9,-0.3,-4.6,1,95.9,12.7,0,0
0.225,88.6,-1.0,16.1,1,40.1,11.6,2,1
0.294,20.6,9.4,2.0,0,87.7,4.1,0,0
0.389,40.5,11.5,-14.3,0,48.7,7.3,1,2
0.234,31.0,-0.3,-12.0,1,86.8,0.3,1,1
0.342,60.0,4.8,22.0,0,29.4,14.6,3,2
0.243,75.1,3.1,-3.4,1,36.1,6.1,0,1
0.206,24.8,-6.5,14.6,2,51.9,14.2,1,0
0.229,58.3,-7.2,0.2,2,25.8,13.1,2,0
0.284,39.7,7.5,13.9,0,45.4,9.0,1,1
0.213,91.2,-0.1,39.9,0,75.8,9.2,0,1
0.232,71.1,-1.8,23.0,2,88.4,12.9,2,1
0.299,74.5,11.7,4.1,0,76.8,14.4,0,0
0.186,67.0,-6.3,38.1,0,62.1,11.6,0,1
0.289,125.2,-2.6,-13.1,0,27.5,7.9,0,1
0.314,43.6,9.1,-5.6,2,47.8,7.3,1,1
0.173,76.8,0.3,12.4,1,49.1,3.0,1,0
0.286,101.0,3.7,1.1,1,46.7,4.8,1,2
0.214,81.3,-7.0,24.6,0,78.9,13.9,0,1
0.342,122.2,10.4,-13.1,0,26.8,5.8,0,0
0.195,61.6,-5.3,0.1,2,40.4,7.0,0,0
0.217,71.0,-3.7,32.1,0,91.9,1.6,2,1
0.243,29.7,-4.9,7.1,2,48.6,8.2,2,1
0.229,87.0,2.0,-3.8,1,81.1,6.0,1,0
0.3,51.7,8.3,13.5,0,56.0,5.5,0,2
0.203,37.6,-2.7,5.1,1,61.0,12.7,0,1
0.176,79.9,-5.2,0.5,0,95.3,1.4,1,0
0.236,78.6,0.2,31.7,0,36.8,0.9,0,2
0.322,28.3,11.6,31.8,1,86.2,5.5,2,1
0.211,96.8,-7.8,8.0,2,33.1,3.2,0,1
0.244,88.6,2.1,18.2,0,62.9,6.4,0,1
0.287,40.8,5.4,24.5,2,67.9,13.8,0,2
0.28,71.6,8.1,23.7,0,64.6,8.5,1,0
0.294,99.2,6.9,3.3,0,49.4,4.8,1,1
0.206,78.2,-6.5,21.4,1,82.6,7.0,3,0
0.181,63.5,1.2,35.5,0,78.0,4.2,0,0
0.208,55.5,-6.4,-12.0,0,57.8,1.4,0,1
0.242,87.1,4.4,-11.0,1,88.5,4.7,1,0
0.219,123.3,-6.5,31.9,0,41.4,9.8,0,1
0.232,93.9,-7.0,18.1,1,59.8,2.5,3,1
0.236,28.2,-1.9,-13.5,2,35.3,10.7,0,1
0.355,70.7,10.8,27.1,1,84.3,14.9,2,2
0.312,118.0,6.2,-9.2,0,38.5,7.7,2,0
0.192,30.4,-7.9,31.2,0,43.2,13.3,0,0
0.333,128.8,-2.3,11.6,0,57.2,12.3,3,1
0.204,124.4,-7.7,1.0,1,39.0,12.8,0,0
0.204,28.6,-2.1,19.0,2,58.2,9.1,1,0
0.299,122.7,5.7,-5.4,0,81.1,11.3,0,0
0.232,59.9,7.2,14.6,0,61.3,3.5,0,0
0.274,112.9,8.1,11.9,1,24.2,7.1,0,1
0.332,66.0,10.2,-1.8,2,23.3,7.9,2,1
0.179,68.5,-0.7,21.7,0,83.0,3.3,0,0
0.272,89.8,9.3,4.3,2,90.2,14.0,0,0
0.248,105.2,6.6,31.8,0,86.3,2.7,0,0
0.311,23.7,2.8,-10.4,1,94.8,11.8,1,2
0.353,85.2,11.1,27.4,2,63.9,6.0,3,1
0.302,40.5,11.0,9.1,2,20.0,0.2,2,1
0.316,58.1,10.0,2.2,0,91.1,10.0,1,1
0.168,58.3,-4.0,36.6,0,32.6,0.5,1,0
0.259,71.6,-3.8,-4.0,0,52.8,12.8,2,1
0.26,56.8,10.0,8.3,0,87.8,1.3,0,0
0.203,31.8,-0.0,10.5,0,35.6,10.5,0,0
0.279,36.0,7.9,1.4,2,73.2,10.1,1,0
0.309,23.7,5.7,-10.1,1,98.4,3.4,1,2
0.254,71.7,7.2,34.8,0,45.7,4.7,1,0
0.193,125.0,-7.5,34.2,1,41.5,10.7,0,0
0.208,32.7,0.6,19.6,2,61.2,14.2,1,0
0.368,124.1,9.1,2.8,2,80.1,12.5,2,1
0.241,100.7,1.8,19.5,2,47.5,9.8,1,1
0.259,90.1,5.8,38.0,0,65.6,7.2,0,1
0.319,91.0,7.1,33.6,1,30.0,12.1,3,0
0.202,110.9,-5.6,-5.9,1,74.5,10.5,0,0
0.181,31.8,-4.9,29.9,0,30.9,0.8,1,0
0.288,75.5,6.5,28.9,1,50.0,10.1,0,2
0.196,96.7,-6.9,35.4,2,78.3,3.1,0,1
0.271,84.6,-1.2,-12.4,0,29.2,1.6,2,1
0.315,111.6,10.4,27.2,0,67.3,6.9,1,1
0.248,27.9,3.5,15.0,1,83.5,2.3,2,1
0.319,96.0,10.2,14.6,0,99.4,13.5,1,1
0.221,78.7,-1.8,4.2,1,97.9,4.6,2,1
0.206,61.7,4.7,28.2,1,36.5,8.8,0,1
0.191,57.4,-2.3,8.3,2,85.8,12.9,0,0
0.219,88.3,-5.8,4.7,1,21.4,14.9,0,1
0.371,118.0,11.8,37.8,2,99.3,12.4,1,2
0.211,74.6,-4.5,10.5,0,77.2,12.6,1,0
0.184,110.7,-4.2,28.6,1,52.3,10.7,0,1
0.295,64.2,8.8,-7.3,0,89.2,3.5,0,1
0.254,31.3,8.0,25.7,2,77.8,7.3,1,0
0.309,26.8,11.6,21.9,1,77.4,12.7,2,1
0.195,25.6,-6.6,13.1,2,84.1,8.2,1,0
0.188,61.8,-6.1,-7.4,0,26.0,0.0,0,0
0.249,57.1,1.0,-8.4,1,39.8,13.5,1,0
0.263,99.0,3.8,22.2,0,41.1,1.5,2,1
0.249,101.7,-7.2,32.1,0,41.3,4.1,2,2
0.233,25.6,-4.8,16.2,2,38.2,12.2,0,2
0.257,44.3,6.1,10.3,0,63.6,13.5,1,0
0.237,50.2,5.4,13.6,0,79.5,10.7,0,0
0.221,80.2,-6.2,-6.4,2,77.0,14.3,2,0
0.323,35.9,10.6,-12.1,0,93.4,1.0,1,0
0.2,34.7,-2.9,30.6,0,77.8,6.0,1,0
0.307,123.8,9.7,31.6,0,74.3,4.6,0,0
0.28,108.5,10.5,26.4,1,47.9,2.7,1,0
0.211,39.9,1.8,27.4,2,89.8,1.6,1,1
0.236,64.7,0.2,-3.2,0,51.5,13.0,1,0
0.249,59.1,-2.4,-9.0,2,43.7,12.8,2,0
0.29,107.0,8.1,-6.2,1,68.9,1.7,0,1
0.192,76.1,-4.1,20.1,1,94.4,13.6,0,2
0.225,34.1,4.4,6.9,2,69.8,7.1,0,0
0.354,101.3,3.3,-14.1,2,21.4,14.4,1,2
0.218,63.7,-3.0,37.3,2,62.2,14.1,2,1
0.365,48.9,11.7,-2.3,2,44.0,7.4,2,1
0.373,61.3,8.9,-14.8,0,46.8,3.3,2,2
0.181,74.8,-7.6,6.1,2,52.8,7.3,1,0
0.284,57.7,0.4,-3.3,0,97.9,7.5,3,0
0.259,46.6,-0.8,5.3,1,32.8,2.2,3,1
0.268,63.8,9.7,36.6,1,23.1,7.6,0,1
0.193,22.1,-2.7,19.2,2,56.2,0.6,0,1
0.307,105.0,12.0,20.5,0,70.9,8.3,0,0
0.199,38.8,-4.0,33.6,0,38.7,3.3,1,1
0.233,24.8,-3.1,-8.8,0,82.5,7.2,0,1
0.289,91.9,5.3,-9.5,0,33.8,4.2,1,1
0.174,105.1,-4.8,32.0,0,59.7,3.6,0,0
0.332,109.5,9.8,-6.2,0,54.4,1.2,2,0
0.236,74.3,-5.8,25.4,0,65.3,8.1,1,2
0.287,42.6,11.7,-3.5,0,87.5,5.1,0,0
0.339,101.1,9.5,11.1,0,75.9,14.2,1,1
0.293,97.0,8.8,6.2,2,75.9,5.0,0,1
0.24,47.1,0.1,-9.3,0,67.5,8.0,1,0
0.359,119.4,2.3,21.9,0,95.6,7.8,3,2
0.197,31.5,1.1,32.0,1,65.5,12.3,0,0
0.335,128.1,11.7,-9.5,1,91.3,6.5,0,0
0.229,114.6,-7.3,4.7,1,73.3,9.1,2,0
0.274,95.7,-0.4,-13.4,0,40.5,7.3,0,2
0.307,123.3,11.4,-2.0,1,71.1,3.5,0,0
0.213,99.5,-0.6,-0.7,0,88.7,1.9,0,1
0.203,41.0,-0.0,29.9,0,71.9,6.4,1,0
0.202,68.6,4.6,26.4,1,50.8,10.2,0,0
0.328,27.9,10.1,30.7,0,97.6,6.6,2,1
0.23,62.9,-2.1,-10.6,0,66.2,8.4,1,0
0.331,101.6,11.0,-7.7,1,70.7,12.4,0,1
0.217,62.5,-2.3,1.7,0,91.7,1.2,1,1
0.241,56.3,8.3,25.9,1,95.6,6.2,0,1
0.232,85.5,-2.5,-13.6,0,30.2,5.3,0,1
0.317,115.9,-6.5,-6.8,0,54.8,13.2,2,2
0.267,25.2,8.2,12.4,1,53.9,1.5,1,1
0.27,62.4,1.0,-13.7,2,25.7,12.1,0,1
0.308,37.4,-0.2,-9.3,0,30.2,3.0,3,1
0.255,96.5,0.6,2.5,2,64.2,14.1,0,1
0.334,31.6,4.2,-1.8,1,71.8,11.2,2,2
0.207,93.1,-2.7,4.9,1,53.2,12.4,0,1
0.217,51.5,-3.3,26.6,2,99.1,8.7,2,1
0.251,41.9,1.7,-3.0,0,44.5,6.1,1,0
0.214,123.0,-7.3,19.4,0,82.9,2.7,2,0
0.227,22.0,4.9,33.4,1,51.7,7.9,0,0
0.287,68.2,8.5,1.8,0,71.7,5.4,2,0
0.423,22.4,6.5,-12.3,0,93.9,14.3,3,2
0.194,73.2,1.4,19.7,0,60.5,7.1,0,0
0.226,75.1,3.3,24.4,2,85.5,5.7,1,1
0.19,55.4,-7.5,11.2,2,76.4,11.3,0,1
0.256,34.5,10.2,8.5,1,56.7,12.3,1,0
0.278,61.4,3.2,26.0,2,91.2,4.0,3,1
0.191,93.9,-1.7,7.9,1,42.4,14.9,0,0
0.261,106.1,-2.1,-14.7,0,25.0,6.3,1,0
0.258,78.4,5.2,33.9,0,74.7,8.2,1,1
0.239,84.9,3.7,-1.1,2,81.1,12.5,0,0
0.178,42.1,-4.2,18.5,1,59.3,6.3,1,0
0.264,51.6,0.2,15.5,0,63.0,4.0,2,2
0.226,37.8,5.5,13.2,2,52.4,6.0,0,0
0.338,47.4,-2.0,-1.4,0,86.9,7.0,3,2
0.209,44.7,2.2,25.7,2,44.2,6.1,0,1
0.207,77.1,-2.9,-1.5,2,58.4,6.9,0,0
0.152,81.9,-6.6,36.6,2,66.4,7.5,0,0
0.254,123.9,-0.2,15.8,2,60.6,2.9,2,1
0.235,41.5,6.6,27.4,2,93.8,5.7,1,0
0.167,90.6,-3.7,26.0,1,84.5,0.6,0,1
0.302,109.9,7.1,38.3,1,86.4,5.6,2,1
0.236,81.6,5.4,14.3,0,46.5,6.0,0,0
0.258,48.1,2.1,-12.0,0,60.4,11.6,0,0
0.34,48.9,11.4,-10.2,0,48.1,8.8,2,0
0.319,24.3,9.7,4.7,1,96.0,6.4,1,2
0.232,53.6,3.3,4.8,0,84.4,2.2,0,1
0.242,101.9,3.2,-3.0,1,71.9,6.8,0,1
0.17,25.2,-2.4,35.9,0,22.7,9.0,0,0
0.28,44.1,10.4,11.0,0,40.3,8.8,0,0
0.287,97.7,9.9,34.6,0,38.0,0.8,0,1
0.353,106.1,6.8,-12.0,1,22.7,9.0,2,2
0.176,70.1,-5.4,4.1,0,40.5,3.7,0,0
0.269,96.8,6.1,4.8,0,95.5,3.6,0,1
0.226,62.7,-2.9,-12.9,0,38.8,7.5,1,0
0.142,37.6,-4.2,20.6,1,91.4,10.1,0,0
0.283,63.8,7.2,-7.2,2,53.4,8.6,1,0
0.319,83.8,11.2,4.1,0,46.5,0.5,0,1
0.213,124.3,-5.8,39.0,0,73.1,11.1,0,0
0.181,27.6,-4.7,36.2,1,92.2,4.3,1,1
0.206,75.8,-3.6,-0.6,2,73.8,12.3,0,1
0.341,56.2,11.3,2.3,1,87.2,13.5,0,2
0.247,75.9,5.9,14.7,0,29.9,8.7,1,0
0.278,22.6,5.6,0.7,1,83.5,13.4,0,1
0.186,54.4,2.1,24.9,0,33.3,2.2,0,0
0.206,110.2,2.8,16.2,1,88.7,14.7,0,0
0.231,80.9,-2.2,11.0,0,94.8,9.6,1,1
0.192,69.6,-4.9,37.7,0,36.2,3.5,0,1
0.291,51.4,7.6,-3.0,0,31.6,10.5,0,1
0.232,52.8,1.4,32.2,0,62.3,1.1,0,2
0.239,62.1,-2.9,25.0,1,55.3,4.6,3,0
0.262,111.9,4.7,-3.9,0,83.1,14.8,0,0
0.256,126.4,-3.8,-4.8,0,56.5,13.3,1,0
0.243,68.3,1.8,16.8,2,52.2,13.5,1,1
0.234,63.3,-4.2,-10.6,0,89.4,4.4,2,0
0.269,113.1,7.2,11.4,1,50.3,2.5,2,1
0.209,67.0,-1.6,3.5,0,84.1,1.6,0,1
0.187,80.7,0.8,31.8,0,83.7,0.4,0,0
0.262,45.4,7.1,17.8,0,61.2,7.2,1,0
0.313,101.8,5.2,20.2,0,52.1,7.8,2,2
0.284,78.5,-0.0,3.0,0,45.1,10.3,1,2
0.213,109.0,-6.6,-3.1,0,65.2,0.3,0,1
0.301,105.9,10.4,14.5,2,77.3,0.9,1,1
0.195,43.7,-7.8,37.0,1,50.8,7.3,0,2
0.294,98.7,6.7,17.7,1,96.5,3.8,1,2
0.343,108.0,10.9,-13.9,1,70.5,14.8,0,1
0.18,58.1,-1.9,38.0,0,29.5,7.9,0,0
0.186,39.0,-6.5,30.9,2,89.5,5.2,2,0
0.2,20.3,-3.0,33.6,0,72.9,7.4,0,0
0.226,69.6,-1.7,9.9,0,51.6,3.1,0,2
0.239,58.8,1.0,34.3,0,88.7,14.8,2,0
0.304,81.0,2.5,-0.8,0,65.2,10.1,0,2
0.217,40.7,6.5,29.1,0,38.9,0.2,0,0
0.289,114.6,10.0,18.7,2,36.9,4.9,1,0
0.206,48.4,1.3,37.4,2,83.9,1.5,0,2
0.253,44.9,6.9,1.3,2,67.3,2.3,1,0
0.195,72.9,-5.5,-8.2,1,92.6,11.4,0,1
0.213,74.9,-1.4,24.4,0,31.4,10.9,1,0
0.182,43.7,-5.6,39.2,0,33.0,6.9,0,1
0.276,49.9,5.8,-7.0,0,80.4,4.4,0,1
0.358,38.7,10.2,-9.4,0,56.6,3.9,1,2
0.298,99.0,9.8,8.7,1,27.6,11.5,1,1
0.211,104.7,-1.5,24.6,2,61.1,2.2,0,1
0.247,70.9,-3.3,17.8,2,99.8,9.6,1,2
0.2,98.5,-2.5,36.7,2,38.9,1.8,0,1
0.217,101.0,-2.3,29.5,0,43.8,14.8,1,0
0.217,35.2,-6.4,16.5,0,33.4,0.4,2,1
0.225,126.3,-5.3,4.9,1,58.3,8.6,1,1
0.194,110.3,-3.7,30.9,0,81.8,6.4,0,0
0.157,42.5,-7.8,11.9,1,88.3,10.9,0,0
0.195,40.5,-7.1,33.1,0,21.5,10.7,0,1
0.246,33.8,6.0,18.0,1,42.3,2.9,2,0
0.22,35.2,4.4,23.9,2,71.6,9.8,0,0
0.292,102.3,10.9,-12.4,1,66.5,1.3,0,0
0.22,71.7,0.0,39.5,1,38.6,2.2,3,0
0.224,106.1,0.9,26.5,0,53.1,6.2,0,1
0.205,102.1,-6.6,17.0,1,43.0,11.5,1,1
0.184,86.5,-5.0,14.3,0,28.3,3.3,0,0
0.284,95.5,5.8,18.0,2,47.0,3.7,0,2
0.202,22.0,-3.3,-12.5,1,86.4,2.3,0,0
0.283,54.3,7.5,5.1,0,45.0,7.8,2,0
0.313,90.2,6.1,-10.1,0,86.1,13.9,2,0
0.297,21.0,6.9,-5.4,1,89.0,5.9,1,1
0.322,23.6,5.8,3.3,0,26.0,14.4,1,2
0.327,113.7,6.2,22.0,0,21.7,12.2,1,2
0.253,95.2,2.9,36.2,0,47.7,6.0,2,0
0.279,49.2,5.6,39.3,1,84.4,6.1,1,2
0.278,95.7,2.5,26.3,0,27.7,6.6,1,2
0.234,107.2,-3.9,-0.2,0,27.9,13.1,0,0
0.321,53.7,-3.6,2.7,2,78.0,12.5,3,2
0.292,24.0,0.1,1.9,1,55.8,1.1,3,2
0.171,122.6,-7.7,31.1,1,53.4,3.5,0,0
0.258,58.0,9.8,27.6,2,51.4,7.7,0,0
0.192,31.7,-2.6,-11.5,1,37.5,5.9,1,0
0.199,74.1,-7.0,12.2,0,38.9,5.0,1,1
0.207,104.5,0.5,20.3,2,21.9,14.6,0,1
0.35,44.4,8.3,-14.1,2,62.8,4.9,3,0
0.214,49.6,-0.1,17.6,0,83.1,7.1,0,1
0.207,46.7,-2.7,36.8,0,80.1,5.0,1,1
0.305,129.1,2.9,-12.4,0,30.5,1.6,0,2
0.235,41.7,3.5,-5.6,2,82.9,2.9,1,0
0.266,83.3,7.2,-9.3,1,98.4,0.8,1,0
0.314,121.8,8.0,5.3,2,56.4,11.1,0,1
0.31,36.2,6.1,5.3,0,62.4,8.8,0,2
0.171,126.8,-7.9,37.6,1,33.7,3.1,0,0
0.2,124.2,-8.0,29.0,1,61.6,8.6,1,1
0.299,117.3,11.5,20.0,0,66.3,9.6,0,0
0.153,43.6,-2.7,20.3,1,83.9,8.1,0,0
0.205,89.7,-2.4,21.7,1,59.8,2.3,2,1
0.293,103.7,6.6,-5.6,0,36.8,8.4,1,0
0.286,128.5,3.6,4.5,1,87.7,5.2,1,1
0.231,39.8,1.3,20.6,0,60.5,13.2,0,1
0.206,104.3,-5.7,-13.2,2,72.4,1.2,0,0
0.162,57.3,-6.4,11.9,0,94.0,11.3,0,0
0.246,39.3,6.1,31.0,1,90.8,13.0,0,1
0.193,66.4,-5.5,15.0,0,61.8,9.1,1,0
0.224,107.3,0.7,32.6,2,44.9,7.4,1,0
0.238,71.1,6.7,26.1,0,83.2,15.0,0,0
0.293,79.1,10.5,14.6,0,34.7,11.9,0,0
0.293,129.5,9.5,5.7,1,76.6,7.3,0,0
0.258,63.9,9.3,21.1,2,75.0,4.3,1,0
0.213,87.7,-0.8,12.4,0,83.4,13.7,0,0
0.302,60.2,10.5,39.7,2,79.4,7.0,2,1
0.25,63.2,5.7,18.6,0,28.9,2.0,2,0
0.318,96.5,9.7,-1.2,0,46.2,7.2,0,1
0.267,123.2,-6.2,38.0,0,56.9,13.9,1,2
0.282,79.7,-7.2,0.8,2,27.1,0.1,3,2
0.206,104.5,0.6,34.0,1,30.5,8.2,0,1
0.336,29.8,8.6,12.1,0,22.4,4.5,0,2
0.215,43.2,0.2,23.8,0,33.8,12.1,0,1
0.313,75.2,9.7,-3.9,2,33.5,13.6,1,1
0.185,22.2,-3.3,15.8,1,23.9,3.5,0,1
0.182,47.8,-7.2,-3.9,2,28.7,8.4,1,0
0.29,76.9,7.2,-1.9,0,93.9,5.1,0,1
0.262,21.6,4.5,-6.1,2,49.1,10.4,0,0
0.22,49.1,0.8,9.7,2,70.5,13.2,0,1
0.281,76.5,8.9,13.3,1,66.0,0.3,0,2
0.277,83.0,8.5,-0.6,0,37.6,7.4,0,0
0.27,121.8,-1.5,18.7,0,23.0,13.7,3,0
0.321,91.0,8.8,-0.1,0,47.8,0.7,0,2
0.195,65.6,-1.1,13.7,2,88.9,3.5,0,1
0.243,122.3,4.4,22.7,0,94.6,6.6,0,1
0.228,106.3,-4.2,-11.7,2,40.0,14.9,0,0
0.195,42.0,-2.7,32.3,2,93.6,0.9,2,1
0.251,34.4,1.0,4.7,0,74.2,3.5,2,1
0.232,94.3,-1.7,13.4,0,38.5,5.9,2,1
0.232,81.6,-5.4,9.5,0,66.3,13.6,1,1
0.259,106.9,1.6,37.2,0,94.7,2.1,1,2
0.309,101.3,2.2,-4.6,0,90.1,13.5,2,1
0.231,88.8,-4.8,19.5,2,37.1,14.6,0,2
0.247,128.5,-4.5,30.6,0,95.2,3.7,0,2
0.216,78.7,-7.4,8.6,2,68.9,4.5,0,2
0.178,32.4,-7.4,3.4,0,47.9,3.0,1,0
0.24,111.1,-0.8,-8.8,0,51.7,4.9,0,0
0.145,47.7,-5.1,24.6,2,79.2,3.9,0,0
0.336,105.5,10.4,28.2,0,84.7,1.7,1,2
0.276,125.3,-4.0,2.2,0,98.4,11.7,0,2
0.2,96.6,-6.7,27.7,2,59.3,1.7,2,0
0.26,85.6,0.1,-9.5,0,44.9,9.2,0,2
0.171,70.6,-4.2,8.7,0,37.5,4.9,1,1
0.259,60.1,-6.8,0.2,2,30.7,5.7,2,2
0.286,58.8,7.1,0.2,2,74.6,14.0,2,0
0.208,90.0,3.1,36.2,2,25.9,1.5,1,0
0.201,102.6,-6.9,27.7,0,28.1,6.7,1,1
0.189,94.6,1.4,27.1,1,57.1,8.2,0,0
0.257,41.8,-7.2,12.1,2,59.3,8.7,2,2
0.199,74.3,-0.9,19.2,1,47.9,14.2,2,0
0.253,107.1,-0.7,28.2,0,98.9,11.1,1,1
0.278,72.3,8.5,-0.3,2,33.1,3.0,0,1
0.234,79.0,6.7,1.0,1,36.9,6.1,0,0
0.292,104.8,9.9,33.6,0,55.5,5.4,0,1
0.196,92.7,-5.2,-2.4,2,99.0,8.8,0,0
0.301,65.0,2.7,22.4,0,38.1,14.8,2,2
0.233,118.5,-7.6,35.5,1,29.0,13.1,0,2
0.289,37.9,8.5,37.4,1,80.4,14.7,2,0
0.244,129.5,-0.7,1.7,1,36.0,3.1,1,1
0.193,33.1,-6.6,37.3,2,32.0,14.1,0,0
0.276,21.6,-1.5,-7.4,0,65.7,0.5,2,1
0.301,117.9,-2.3,-1.7,0,31.2,6.3,2,2
0.227,46.9,7.3,7.1,1,94.7,4.2,1,0
0.196,100.3,-5.5,26.8,2,23.2,9.7,1,0
0.233,109.2,3.1,-10.1,1,22.0,1.5,0,0
0.344,114.5,7.9,-2.8,2,89.0,7.4,1,2
0.337,129.1,6.8,11.2,2,66.3,12.0,0,2
0.319,52.3,10.7,-10.9,0,92.5,4.0,0,1
0.194,98.1,-8.0,4.4,2,50.7,11.7,1,1
0.196,32.7,-0.9,18.8,1,99.0,1.6,2,0
0.245,64.7,-0.6,27.5,2,34.2,14.4,1,2
0.227,113.3,-7.3,12.5,0,31.4,11.7,1,1
0.254,60.4,8.3,9.7,1,21.4,10.2,0,0
0.254,85.0,5.8,3.2,0,45.6,5.6,0,1
0.307,75.4,2.6,5.3,0,70.8,13.5,3,0
0.294,91.1,0.1,14.7,2,36.0,13.8,1,2
0.363,127.0,9.9,6.8,1,85.1,14.7,1,2
0.256,26.1,-2.7,2.5,1,23.1,5.6,3,0
0.195,83.1,-1.3,19.3,0,87.0,7.5,0,1
0.314,114.9,11.1,39.8,2,24.9,11.1,1,1
0.258,73.0,-6.7,1.1,2,64.0,6.7,1,2
0.333,28.6,7.6,-8.4,0,27.2,14.3,2,0
0.278,81.7,6.4,-6.9,0,57.2,6.6,0,0
0.336,56.5,10.0,18.4,2,38.0,15.0,1,2
0.203,37.0,-6.2,15.6,2,46.7,3.6,1,2
0.374,113.4,11.4,-9.1,0,35.9,12.5,1,0
0.183,77.4,-7.4,7.6,0,21.0,5.4,0,0
0.207,122.7,-1.2,32.0,1,86.7,2.1,0,1
0.212,108.7,-6.3,11.3,2,69.8,4.1,0,1
0.144,96.2,-7.0,28.0,0,23.6,8.5,0,0
0.406,20.6,11.3,-12.5,0,39.4,4.7,2,2
0.267,67.1,6.4,12.0,0,71.6,5.1,0,1
0.201,41.7,2.1,30.3,0,52.6,6.3,1,0
0.222,120.2,-5.8,18.1,0,52.4,12.1,0,1
0.253,39.2,2.5,-8.7,2,25.0,8.5,0,1
0.199,51.5,-1.6,33.7,0,22.7,3.9,1,1
0.319,76.9,-2.6,-4.8,2,97.6,11.6,3,2
0.21,49.0,4.4,24.2,2,81.5,2.8,0,1
0.356,43.1,7.8,-11.0,0,41.4,10.9,0,2
0.222,85.9,0.9,14.6,0,87.1,15.0,2,0
0.25,29.8,1.9,1.5,1,88.4,6.4,0,2
0.251,26.4,5.0,38.7,1,69.5,3.4,0,1
0.175,60.9,-5.5,34.5,2,27.4,11.0,1,0
0.316,99.3,8.6,9.2,0,48.0,13.6,1,1
0.289,81.0,8.7,32.0,2,93.8,8.9,1,1
0.226,66.5,2.8,-1.8,0,46.6,1.0,1,0
0.19,82.2,-4.2,13.6,0,96.8,5.8,0,1
0.241,60.2,2.0,30.6,0,97.4,1.6,2,1
0.221,123.0,-5.9,22.6,0,31.6,2.5,0,1
0.25,26.0,7.3,9.7,2,43.5,7.5,0,0
0.205,94.1,-1.8,14.4,2,68.7,6.2,2,0
0.23,118.0,-1.8,1.0,0,35.4,0.1,0,0
0.295,108.4,10.9,16.0,0,40.9,9.6,0,0
0.257,40.2,0.4,-7.5,0,43.3,11.6,2,0
0.257,52.6,7.8,26.6,0,61.1,9.8,0,0
0.314,98.9,4.7,39.7,2,67.5,6.9,2,2
0.25,29.3,-1.7,-12.1,0,53.9,12.2,1,0
0.194,109.3,-5.5,28.6,0,97.6,6.3,1,0
0.278,99.1,8.0,31.2,0,76.7,7.5,0,1
0.364,100.3,7.3,-13.1,2,40.1,13.0,2,1
0.207,31.0,-4.6,17.2,1,54.3,2.9,0,2
0.184,99.0,-3.0,34.1,0,78.4,0.2,2,0
0.312,94.8,7.3,16.2,0,62.6,3.7,2,2
0.274,111.4,11.7,17.4,1,31.9,1.2,0,0
0.347,24.6,8.9,39.8,2,86.3,10.2,2,2
0.373,22.5,5.7,34.4,0,92.3,10.9,3,2
0.283,61.0,10.3,19.9,0,74.6,13.0,1,0
0.167,36.4,-2.3,13.3,2,38.0,0.0,0,0
0.213,81.4,-7.8,-4.4,1,28.7,14.8,0,0
